prid,proceedingid,title,subtitle,proc_desc,con_city,con_state,con_country,con_start_date,con_end_date,publication_date,puid
38059,2009916,Research and development in Information Retrieval,,Proceedings of the 34th international ACM SIGIR conference,Beijing,,China,2011-07-24,2011-07-28,2011-07-24,1545
38330,2541940,Architectural support for programming languages and operating systems,,Proceedings of the 19th international conference,Salt Lake City,Utah,USA,2014-03-01,2014-03-05,2014-02-24,1545
38364,2684432,Web of Things,,Proceedings of the 5th International Workshop,Cambridge,MA,USA,2014-10-08,2014-10-08,2014-10-08,1545
38507,2208828,Future Energy Systems,"Where Energy, Computing and Communication Meet",Proceedings of the 3rd International Conference,Madrid,,Spain,2012-05-09,2012-05-11,2012-05-09,1545
38732,2404962,Model Driven Engineering Languages and Systems,,Proceedings of the 15th international conference,Innsbruck,,Austria,2012-09-30,2012-10-05,2012-09-30,13854
38756,2442670,Context-awareness in Retrieval and Recommendation,,Proceedings of the 3rd Workshop,Rome,,Italy,2013-02-05,2013-02-05,2013-02-05,1545
38857,224019,Organizational computing systems,,Proceedings of conference,Milpitas,California,USA,1995-08-13,1995-08-16,1995-08-13,1545
38874,149576,TRI-Ada '92,,Tutorial proceedings,Orlando,Florida,USA,1992-11-16,1992-11-20,1992-11-01,1545
38950,1109540,Interaction design and children,,Proceedings of the 2005 conference,Boulder,Colorado,,2005-06-08,2005-06-10,2005-06-08,1545
40059,1367497,World Wide Web,,Proceedings of the 17th international conference,Beijing,,China,2008-04-21,2008-04-25,2008-04-21,1545
40149,1389449,Principles and practice of declarative programming,,Proceedings of the 10th international ACM SIGPLAN conference,Valencia,,Spain,2008-07-15,2008-07-17,2008-07-15,1545
40606,1141753,Digital libraries,,Proceedings of the 6th ACM/IEEE-CS joint conference,Chapel Hill,NC,USA,2006-06-11,2006-06-15,2006-06-11,1545
40692,1067170,"Mobile systems, applications, and services",,Proceedings of the 3rd international conference,Seattle,Washington,,2005-06-06,2005-06-08,2005-06-06,1545
40729,2030031, practice,,Proceedings of the 2011 ACM symposium,Beijing,,China,2011-09-18,2011-09-18,2011-09-18,1545
40846,2506182,Semantic Systems,,Proceedings of the 9th International Conference,Graz,,Austria,2013-09-04,2013-09-06,2013-09-04,1545
40879,2593861,Twin Peaks of Requirements and Architecture,,Proceedings of the 4th International Workshop,Hyderabad,,India,2014-06-01,2014-06-01,2014-06-01,1545
41001,212490,"Supporting teams, groups, and learning inside and outside the IS function reinventing IS",,Proceedings of the 1995 ACM SIGCPR conference,Nashville,Tennessee,USA,1995-04-06,1995-04-08,1995-04-06,1545
41158,777005,rence Francophone sur l'Interaction Homme-Machine),,Proceedings of the 14th French-speaking conference,Poitiers,,France,2002-11-26,2002-11-29,2002-11-26,1545
41184,1552280,Data-aware distributed computing,,Proceedings of the second international workshop,Garching,,Germany,2009-06-09,2009-06-10,2009-06-09,1545
41375,2479787,"Web Intelligence, Mining and Semantics",,Proceedings of the 3rd International Conference,Madrid,,Spain,2013-06-12,2013-06-14,2013-06-12,1545
41471,1952682,Virtual execution environments,,Proceedings of the 7th ACM SIGPLAN/SIGOPS international conference,Newport Beach,California,USA,2011-03-09,2011-03-11,2011-03-09,1545
41600,1152154,Parallel architectures and compilation techniques,,Proceedings of the 15th international conference,Seattle,Washington,USA,2006-09-16,2006-09-20,2006-09-16,1545
41692,589411,Timing issues in the specification and synthesis of digital systems,,Proceedings of the 8th ACM/IEEE international workshop,Monterey,California,USA,2002-12-02,2002-12-03,2002-12-02,1545
41862,1767297,The unified modeling language,beyond the standard,Proceedings of the 2nd international conference,Fort Collins,CO,USA,1999-10-28,1999-10-30,1999-10-28,13854
41952,1290031,TRECVID video summarization,,Proceedings of the international workshop,Augsburg,Bavaria,Germany,2007-09-28,2007-09-28,2007-09-28,1545
42032,143165,Principles of programming languages,,Proceedings of the 19th ACM SIGPLAN-SIGACT symposium,Albuquerque,New Mexico,USA,1992-01-19,1992-01-22,1992-02-01,1545
42075,218327,Parallel rendering,,Proceedings of the IEEE symposium,Atlanta,Georgia,USA,1995-10-30,1995-10-31,1995-12-01,1545
42452,253228,Software engineering,,Proceedings of the 19th international conference,Boston,Massachusetts,USA,1997-05-17,1997-05-23,1997-05-01,1545
42500,2350182,Knowledge Discovery from Sensor Data,,Proceedings of the Sixth International Workshop,Beijing,,China,2012-08-12,2012-08-12,2012-08-12,1545
42676,2038916,Cloud Computing,,Proceedings of the 2nd ACM Symposium,Cascais,,Portugal,2011-10-26,2011-10-28,2011-10-26,1545
42730,2364506,,,Proceedings of the 2012 Haskell Symposium,Copenhagen,,Denmark,2012-09-13,2012-09-13,2012-09-13,1545
43018,273133,Computer science education,,Proceedings of the twenty-ninth SIGCSE technical symposium,Atlanta,Georgia,USA,1998-02-26,1998-03-01,1998-03-01,1545
43379,2658861,Human-agent interaction,,Proceedings of the second international conference,Tsukuba,,Japan,2014-10-29,2014-10-31,2014-10-29,1545
43725,2677855,Information and Communication Technology for Competitive Strategies,,Proceedings of the 2014 International Conference,Udaipur,Rajasthan,India,2014-11-14,2014-11-16,2014-11-14,1545
43761,2287056,Virtualization Technologies in Distributed Computing Date,,Proceedings of the 6th international workshop,Delft,,The Netherlands,2012-06-18,2012-06-18,2012-06-18,1545
43834,2387841,Systems,,Proceedings of the Third ACM SIGOPS Asia-Pacific conference,Seoul,,South Korea,2012-07-23,2012-07-24,2012-07-23,34855
43907,1145319,Software engineering for high performance computing system applications,,Proceedings of the second international workshop,St. Louis,Missouri,,2005-05-15,2005-05-15,2005-05-15,1545
43935,1370143,Scrutinizing agile practices or shoot-out at the agile corral,,Proceedings of the 2008 international workshop,Leipzig,,Germany,2008-05-10,2008-05-10,2008-05-10,1545
44018,2163868,Distributed Applications and Interoperable Systems,,Proceedings of the 10th IFIP WG 6.1 international conference,Amsterdam,,The Netherlands,2010-06-07,2010-06-09,2010-06-07,13854
44058,2330147,Non-Photorealistic Animation and Rendering,,Proceedings of the Symposium,Annecy,,France,2012-06-04,2012-06-06,2012-06-04,13696
44186,267665,Physical design,,Proceedings of the 1997 international symposium,Napa Valley,California,USA,1997-04-14,1997-04-16,1997-04-01,1545
44323,2069131,Mobility management and wireless access,,Proceedings of the 9th ACM international symposium,Miami,Florida,USA,2011-10-31,2011-11-04,2011-10-31,1545
44441,504390,ACM SIGOPS European workshop,Matching operating systems to application needs,Proceedings of the 6th workshop,Wadern,,Germany,1994-09-12,1994-09-14,1994-09-12,1545
44571,1555349,Measurement and modeling of computer systems,,Proceedings of the eleventh international joint conference,Seattle,WA,USA,2009-06-15,2009-06-19,2009-06-15,1545
44997,2414536,,,Proceedings of the 24th Australian Computer-Human Interaction Conference,Melbourne,,Australia,2012-11-26,2012-11-30,2012-11-26,1545
45053,2389936,Web information and data management,,Proceedings of the twelfth international workshop,Maui,Hawaii,USA,2012-11-02,2012-11-02,2012-11-02,1545
45133,347324,Software testing and analysis,,Proceedings of the 2000 ACM SIGSOFT international symposium,Portland,Oregon,USA,2000-08-21,2000-08-24,2000-08-01,1545
45309,332186,"Computers, freedom and privacy",challenging the assumptions,Proceedings of the tenth conference,Toronto,Ontario,Canada,2000-04-04,2000-04-07,2000-04-01,1545
45333,2723695,Massively Multiuser Virtual Environments,,Proceedings of the 7th ACM International Workshop,Portland,Oregon,,2015-03-18,2015-03-20,2015-03-18,1545
45714,800192,,,Proceedings of the ACM annual conference,Atlanta,Georgia,USA,1973-08-27,1973-08-29,1973-08-27,1545
47184,1871437,Information and knowledge management,,Proceedings of the 19th ACM international conference,Toronto,ON,Canada,2010-10-26,2010-10-30,2010-10-26,1545
47288,323706,Artificial intelligence and law,,Proceedings of the 7th international conference,Oslo,,Norway,1999-06-14,1999-06-17,1999-06-14,1545
47543,2663716,Internet Measurement Conference,,Proceedings of the 2014 Conference,Vancouver,BC,Canada,2014-11-05,2014-11-07,2014-11-05,1545
47747,1784542,Advances in conceptual modeling,foundations and applications,Proceedings of the 2007 conference,Auckland,,New Zealand,2007-11-05,2007-11-09,2007-11-05,13854
47767,2480347,Energy efficient high performance parallel and distributed computing,,Proceedings of the 2013 workshop,New York,New York,USA,2013-06-17,2013-06-17,2013-06-17,1545
47880,800276,Easier and More Productive Use of Computer Systems. (Part - II),Human Interface and the User Interface,Proceedings of the Joint Conference,Ann Arbor,MI,,1981-05-20,1981-05-22,1981-05-21,1545
48059,325334,Computer graphics and interactive techniques,,Proceedings of the 12th annual conference,,,,,,1985-07-01,1545
48175,512529,Programming language design and implementation,,Proceedings of the ACM SIGPLAN 2002 conference,Berlin,,Germany,2002-06-17,2002-06-19,2002-06-17,1545
48446,1031495,Embedded networked sensor systems,,Proceedings of the 2nd international conference,Baltimore,MD,USA,2004-11-03,2004-11-05,2004-11-03,1545
48576,1099547,Microarchitecture,,Proceedings of the 38th annual IEEE/ACM International Symposium,Barcelona,,Spain,2005-11-12,2005-11-16,2005-11-12,3039
48636,1463768,Next-generation multicore/manycore technologies,,Proceedings of the 1st international forum,Cairo,,Egypt,2008-11-24,2008-11-25,2008-11-24,1545
48700,1944999,Web APIs and Services Mashups,,Proceedings of the 3rd and 4th International Workshop,Ayia Napa,,Cyprus,2010-12-01,2010-12-01,2010-12-01,1545
48777,2351316,"Big Data, Streams and Heterogeneous Source Mining","Algorithms, Systems, Programming Models and Applications",Proceedings of the 1st International Workshop,Beijing,,China,2012-08-12,2012-08-12,2012-08-12,1545
49281,965400,,, Applications,San Diego,California,,2003-07-27,2003-07-31,2003-07-27,1545
49739,2568225,Software Engineering,,Proceedings of the 36th International Conference,Hyderabad,,India,2014-05-31,2014-06-07,2014-05-31,1545
49826,2048416,,,Proceedings of the 14th Communications and Networking Symposium,Boston,Massachusetts,,2011-04-03,2011-04-07,2011-04-03,49827
49916,2348688,"Wireless network testbeds, experimental evaluation and characterization",,Proceedings of the seventh ACM international workshop,Istanbul,,Turkey,2012-08-22,2012-08-22,2012-08-22,1545
49969,2508478,Cognitive radio architectures for broadband,,Proceedings of the 1st ACM workshop,Miami,Florida,USA,2013-10-04,2013-10-04,2013-10-04,1545
50130,1321261,Computer graphics and interactive techniques in Australia and Southeast Asia,,Proceedings of the 5th international conference,Perth,,Australia,2007-12-01,2007-12-04,2007-12-01,1545
50564,2141512,Computer Supported Cooperative Work Companion,,Proceedings of the ACM 2012 conference,Seattle,Washington,USA,2012-02-11,2012-02-15,2012-02-11,1545
50691,1352533,Wireless network security,,Proceedings of the first ACM conference,Alexandria,VA,USA,2008-03-31,2008-04-02,2008-03-31,1545
50754,2030698,Vehicular inter-networking,,Proceedings of the Eighth ACM international workshop,Las Vegas,Nevada,USA,2011-09-23,2011-09-23,2011-09-23,1545
50912,280814,Computer graphics and interactive techniques,,Proceedings of the 25th annual conference,,,,,,1998-07-24,1545
51076,2407746,,,SIGGRAPH Asia 2012 Technical Briefs,Singapore,,Singapore,2012-11-28,2012-12-01,2012-11-28,1545
51137,2613908,Manycore Embedded Systems,,Proceedings of International Workshop,Minneapolis,MN,USA,2014-06-15,2014-06-15,2014-06-15,1545
51253,2386301,Sketch-Based Interfaces and Modeling,,Proceedings of the Fifth Eurographics conference,Annecy,,France,2008-06-11,2008-06-13,2008-06-11,13696
51627,985692,Human Factors in Computing Systems,,Proceedings of the SIGCHI Conference,Vienna,,Austria,2004-04-24,2004-04-29,2004-04-25,1545
51959,2742854,Computing Frontiers,,Proceedings of the 12th ACM International Conference,Ischia,,Italy,2015-05-18,2015-05-21,2015-05-06,1545
52454,1048924,"Design, Automation and Test in Europe",,Proceedings of the conference,,,,2005-03-07,2005-03-11,2005-03-07,3039
52640,227726,Software engineering,,Proceedings of the 18th international conference,Berlin,,Germany,1996-03-25,1996-03-29,1996-05-01,3039
52759,948449,Advanced visual interfaces,,Proceedings of the workshop,Gubbio,,Italy,1996-05-27,1996-05-29,1996-05-27,1545
52791,2664350,Hot Topics in Software Upgrades,,Proceedings of the 4th International Workshop,Zurich,,Switzerland,2012-06-03,2012-06-03,2012-06-03,4124
52837,2664666, 2014,,Proceedings of the International Workshop,Bristol,,United Kingdom,2014-05-12,2014-05-13,2014-05-12,1545
52890,570790,Wireless mobile multimedia,,Proceedings of the 5th ACM international workshop,Atlanta,Georgia,USA,2002-09-28,2002-09-28,2002-09-28,1545
52965,980262,Theoretical issues in natural language processing,,Proceedings of the 1978 workshop,Urbana-Champaign,Illinois,,1978-07-25,1978-07-27,1978-07-25,52966
53039,800241,Simulation of computer systems,,Proceedings of the 1st symposium,Gaithersburg,Maryland,USA,1973-06-19,1973-06-20,1973-06-19,4124
53509,1186954,,,ACM SIGGRAPH 2005 Posters,Los Angeles,California,,2005-07-31,2005-08-04,2005-07-31,1545
53752,566570,Computer graphics and interactive techniques,,Proceedings of the 29th annual conference,San Antonio,Texas,,2002-07-23,2002-07-26,2002-07-23,1545
54573,1899721,,,Proceedings of the 2010 Asia and South Pacific Design Automation Conference,Taipei,,Taiwan,2010-01-18,2010-01-21,2010-01-18,4124
54968,500141,Multimedia,,Proceedings of the ninth ACM international conference,Ottawa,,Canada,2001-09-30,2001-10-05,2001-10-01,1545
55006,1779599,Massive Data Analytics on the Cloud,,Proceedings of the 2010 Workshop,Raleigh,North Carolina,USA,2010-04-26,2010-04-26,2010-04-26,1545
55111,350391,Software and performance,,Proceedings of the 2nd international workshop,Ottawa,Ontario,Canada,,,2000-09-01,1545
55488,1936652,Interactive Tabletops and Surfaces,,ACM International Conference,Saarbr&#252;cken,,Germany,2010-11-07,2010-11-10,2010-11-07,1545
55746,1151454,Electronic commerce,"The new e-commerce: innovations for conquering current barriers, obstacles and limitations to conducting successful business on the internet",Proceedings of the 8th international conference,Fredericton,New Brunswick,Canada,2006-08-13,2006-08-16,2006-08-13,1545
55963,800186,,,Proceedings of the 1968 23rd ACM national conference,,,,1968-08-27,1968-08-29,1968-01-01,1545
56010,1361482,"Context enabled source and service selection, integration and adaptation",organized with the 17th International World Wide Web Conference (WWW 2008),Proceedings of the 2008 international workshop,Beijing,,China,2008-04-22,2008-04-22,2008-04-22,1545
56311,1178977,,,ACM SIGGRAPH 2006 Art gallery,Boston,Massachusetts,,2006-07-30,2006-08-03,2006-07-30,1545
56359,2442796,Location-Based Social Networks,,Proceedings of the 5th ACM SIGSPATIAL International Workshop,Redondo Beach,California,,2012-11-06,2012-11-06,2012-11-06,1545
56563,2462356,Computational geometry,,Proceedings of the twenty-ninth annual symposium,Rio de Janeiro,,Brazil,2013-06-17,2013-06-20,2013-06-17,1545
56802,2068897,"Modeling, analysis and simulation of wireless and mobile systems",,Proceedings of the 14th ACM international conference,Miami,Florida,USA,2011-10-31,2011-11-04,2011-10-31,1545
56879,800125,Theory of computing,,Proceedings of the fifth annual ACM symposium,Austin,Texas,USA,1973-04-30,1973-05-02,1973-04-30,1545
57055,800046,Computer architecture,,Proceedings of the 10th annual international symposium,Stockholm,,Sweden,1983-06-13,1983-06-17,1983-06-13,1545
57215,1480881,Principles of programming languages,,Proceedings of the 36th annual ACM SIGPLAN-SIGACT symposium,Savannah,GA,USA,2009-01-21,2009-01-23,2009-01-21,1545
57311,62266,Computer-supported cooperative work,,Proceedings of the 1988 ACM conference,Portland,Oregon,USA,1988-09-26,1988-09-28,1988-01-01,1545
